seqName,strand,individual,locus,allele
G4S72XW01AM8OM,F,46,2,NewAllele_508 count=182 threshold=2
G4S72XW01AVHCV,F,22,2,NewAllele_508 count=182 threshold=2
G4S72XW01ANE2G,R,18,3,Mama_UB_01
G4S72XW01ALTSD,F,15,1,Mama_DRB1_03
G4S72XW01AL62B,F,87,3,<unidentified>
G4S72XW01AL45Z,R,7,3,Mama_UB_01
G4S72XW01AM230,R,99,3,NewAllele_855 count=6 threshold=2
G4S72XW01AVBBR,F,76,2,NewAllele_530 count=9 threshold=2
G4S72XW01AOZS9,R,98,3,Mama_UB_01
G4S72XW01ARMDT,R,5,1,Mama_DRB1_01
G4S72XW01ATMYL,R,34,4,NewAllele_1341 count=8 threshold=2
G4S72XW01AQ264,R,90,3,<unidentified>
G4S72XW01AW2HR,R,17,4,NewAllele_1334 count=3 threshold=2
G4S72XW01APCAA,R,48,3,Mama_UB_02
G4S72XW01AMV6I,R,67,4,NewAllele_1615 count=5 threshold=2
G4S72XW01AYEYJ,R,101,4,NewAllele_1421 count=3 threshold=2
G4S72XW01AR445,R,24,3,<unidentified>
G4S72XW01ALZ1Z,R,51,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AMSIL,F,39,3,NewAllele_895 count=9 threshold=2
G4S72XW01AM4ZQ,F,14,2,NewAllele_176 count=297 threshold=2
G4S72XW01AM829,R,98,3,<unidentified>
G4S72XW01AV3UJ,R,5,3,NewAllele_855 count=6 threshold=2
G4S72XW01AJW2Q,F,111,1,<unidentified>
G4S72XW01AQAW3,R,15,2,NewAllele_221 count=591 threshold=2
G4S72XW01AN6X6,R,19,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AQM15,F,116,3,<unidentified>
G4S72XW01AJ93B,F,94,2,NewAllele_530 count=9 threshold=2
G4S72XW01AWGI3,R,116,4,NewAllele_1695 count=25 threshold=2
G4S72XW01A56EG,R,21,4,NewAllele_1617 count=5 threshold=2
G4S72XW01A86AR,R,24,3,<unidentified>
G4S72XW01ALAUX,F,94,2,NewAllele_381 count=782 threshold=2
G4S72XW01A3JY3,R,2,3,Mama_UB_02
G4S72XW01AU3HW,F,23,3,<unidentified>
G4S72XW01AL6YP,F,109,2,NewAllele_221 count=591 threshold=2
G4S72XW01A0TU7,R,57,3,<unidentified>
G4S72XW01AO51G,R,58,3,<unidentified>
G4S72XW01AL6DJ,F,94,2,NewAllele_381 count=782 threshold=2
G4S72XW01AS6NJ,F,14,2,NewAllele_176 count=297 threshold=2
G4S72XW01APF2H,R,106,2,NewAllele_297 count=6 threshold=2
G4S72XW01APTDI,R,24,1,Mama_DRB1_03
G4S72XW01AN7SW,F,108,2,NewAllele_381 count=782 threshold=2
G4S72XW01AWWIA,R,104,4,Mama_UD_01
G4S72XW01AN3KF,R,24,3,Mama_UB_02
G4S72XW01A74HV,R,99,3,NewAllele_855 count=6 threshold=2
G4S72XW01ANLVT,F,51,1,<unidentified>
G4S72XW01AQ6S0,R,47,3,NewAllele_855 count=6 threshold=2
G4S72XW01AN3MU,F,89,3,<unidentified>
G4S72XW01AK5HF,F,70,2,NewAllele_542 count=2 threshold=2
G4S72XW01ANXKA,F,62,4,NewAllele_1655 count=4 threshold=2
G4S72XW01AMP31,F,37,4,Mama_UD_01
G4S72XW01A8WYP,F,87,4,NewAllele_1334 count=3 threshold=2
G4S72XW01ARF82,F,109,1,<unidentified>
